date,cash,shares,close_price,position_value,exposure_pct,equity,gross_cash,gross_shares,gross_position_value,gross_equity
2020-09-16,684.5247297375574,0.0,312.021420387,0.0,0.0,684.5247297375574,693.9021807106163,0.0,0.0,693.9021807106163
2020-09-17,684.5247297375574,0.0,309.277120072,0.0,0.0,684.5247297375574,693.9021807106163,0.0,0.0,693.9021807106163
2020-09-18,684.5247297375574,0.0,305.716715458,0.0,0.0,684.5247297375574,693.9021807106163,0.0,0.0,693.9021807106163
2020-09-21,684.5247297375574,0.0,302.314212773,0.0,0.0,684.5247297375574,693.9021807106163,0.0,0.0,693.9021807106163
2020-09-22,513.3935473031681,0.5622903131257315,305.393107866,171.71958624841344,0.25064413136883007,685.1131335515815,520.4266355329622,0.5710310125376368,174.3889356067377,694.8155711397
2020-09-23,513.3935473031681,0.5622903131257315,298.310724559,167.73723072104394,0.24626288538539864,681.1307780242121,520.4266355329622,0.5710310125376368,170.34467509576183,690.771310628724
2020-09-24,513.3935473031681,0.5622903131257315,299.105874643,168.18433591075828,0.24675732598261316,681.5778832139264,520.4266355329622,0.5710310125376368,170.79873045334773,691.22536598631
2020-09-25,513.3935473031681,0.5622903131257315,303.941496666,170.9033593322286,0.249750302354192,684.2969066353967,520.4266355329622,0.5710310125376368,173.56002059339073,693.986656126353
2020-09-28,513.3935473031681,0.5622903131257315,308.989775106,173.74195739700212,0.25284962894300445,687.1355047001703,520.4266355329622,0.5710310125376368,176.44274414255585,696.8693796755181
2020-09-29,686.7052413499031,0.0,307.307015626,0.0,0.0,686.7052413499031,696.7532259797367,0.0,0.0,696.7532259797367
2020-09-30,686.7052413499031,0.0,309.636990291,0.0,0.0,686.7052413499031,696.7532259797367,0.0,0.0,696.7532259797367
2020-10-01,686.7052413499031,0.0,311.624865501,0.0,0.0,686.7052413499031,696.7532259797367,0.0,0.0,696.7532259797367
2020-10-02,686.7052413499031,0.0,308.666167514,0.0,0.0,686.7052413499031,696.7532259797367,0.0,0.0,696.7532259797367
2020-10-05,686.7052413499031,0.0,314.13975879,0.0,0.0,686.7052413499031,696.7532259797367,0.0,0.0,696.7532259797367
2020-10-06,686.7052413499031,0.0,309.673974016,0.0,0.0,686.7052413499031,696.7532259797367,0.0,0.0,696.7532259797367
2020-10-07,686.7052413499031,0.0,315.064351911,0.0,0.0,686.7052413499031,696.7532259797367,0.0,0.0,696.7532259797367
2020-10-08,686.7052413499031,0.0,317.856623137,0.0,0.0,686.7052413499031,696.7532259797367,0.0,0.0,696.7532259797367
2020-10-09,686.7052413499031,0.0,320.695124018,0.0,0.0,686.7052413499031,696.7532259797367,0.0,0.0,696.7532259797367
2020-10-12,686.7052413499031,0.0,325.854353634,0.0,0.0,686.7052413499031,696.7532259797367,0.0,0.0,696.7532259797367
2020-10-13,686.7052413499031,0.0,323.727789455,0.0,0.0,686.7052413499031,696.7532259797367,0.0,0.0,696.7532259797367
2020-10-14,686.7052413499031,0.0,321.693684589,0.0,0.0,686.7052413499031,696.7532259797367,0.0,0.0,696.7532259797367
2020-10-15,686.7052413499031,0.0,321.296109547,0.0,0.0,686.7052413499031,696.7532259797367,0.0,0.0,696.7532259797367
2020-10-16,686.7052413499031,0.0,321.101944992,0.0,0.0,686.7052413499031,696.7532259797367,0.0,0.0,696.7532259797367
